PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Urquidy(L, 13-6)",5.0,10,6,6,1,4,1,3.75
"Martinez, S",2.0,1,0,0,0,3,0,2.15
"Smith, W.M.",1.0,0,0,0,0,2,0,3.91
"Maton, P",1.0,0,0,0,1,2,0,3.95
,9.0,11,6,6,2,11,1,
