 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,142,92.8,86.0,--,--,--,--,--,--,--,--,--,--,142,86.0,--,--
2021,368,93.9,84.4,--,--,--,--,--,--,--,--,--,--,368,84.4,--,--
2022,369,93.2,85.9,--,--,--,--,--,--,--,--,--,--,369,85.9,--,--
