 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,179,745,-11,1,6,4,-1
2020,,278,"1,161",-3,-8,8,4,1
2021,,525,"2,168",-6,-17,21,10,8
2022,,568,"2,407",-17,-25,19,9,-14
