PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Gore(L, 4-2)",2.1,5,6,6,4,3,0,2.50
Stammen,1.2,1,0,0,1,2,0,3.57
Knehr,4.2,3,0,0,0,3,0,0.00
Kerr,0.1,0,0,0,0,0,0,6.75
,9.0,9,6,6,5,8,0,
