BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Joe1B,3,0,1,1,2,0,0,.261,.755
BlackmonRF,5,0,0,1,0,1,6,.252,.740
HilliardLF,0,0,0,0,0,0,0,.165,.519
Rodgers2B,5,1,2,0,0,0,4,.263,.726
CronDH,5,1,2,1,0,3,2,.286,.867
DazaLF-CF,5,2,2,0,0,1,2,.321,.744
GrichukCF-RF,5,1,1,1,0,1,2,.258,.680
McMahon3B,4,0,0,1,0,1,3,.234,.693
HampsonSS,2,1,0,0,2,1,0,.250,.735
"Díaz, EC",3,0,1,1,1,0,0,.204,.547
,37,6,9,6,5,8,19,,
