Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2019,22,28.0,4.25,,21,8,175,74.5
2020,23,27.6,4.32,,20,14,157,68.8
2021,24,28.1,4.26,,23,19,163,76.0
2022,25,27.9,4.31,,26,19,208,66.8
