,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,511,489,45,129,17,52,6,.264,.294,.429,.723
4 Seasons,1213,1110,123,263,31,106,12,.237,.294,.371,.665
