Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,19.1,7,7.7,-1,3,5,4,57.1
2020,,19.2,1,1.0,0,0,0,1,100.0
2021,,20.5,6,7.2,-1,1,6,2,33.3
2022,,20.3,17,14.2,3,6,12,6,35.3
Player,,20.0,31,30.1,1,10,23,13,41.9
