Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,L,269,55,20.4,.341,.243
2019,R,130,2,1.5,.273,.000
2020,L,63,22,34.9,.179,.384
2020,R,43,9,20.9,.216,.098
2021,L,131,54,41.2,.309,.158
2021,R,59,6,10.2,.232,.293
2022,L,338,206,60.9,.281,.269
2022,R,173,22,12.7,.404,.312
