Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Salt Lake Bees,Triple-A,Batting First,82,74,,22,2,0,4,13,7,20,,,0,.297,.354,.486,.840
Salt Lake Bees,Triple-A,Batting Second,14,14,,7,3,1,0,1,0,3,,,0,.500,.500,.857,1.357
Salt Lake Bees,Triple-A,Batting Third,5,3,,1,0,1,0,0,2,0,,,0,.333,.600,1.000,1.600
Salt Lake Bees,Triple-A,Batting Sixth,11,8,,1,0,0,0,1,3,1,,,0,.125,.364,.125,.489
