PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Peterson, D(L, 3-1)",4.0,6,4,4,2,3,0,3.60
Reed,0.2,2,5,5,2,1,0,16.62
Williams,2.1,2,1,1,2,4,0,3.53
Ottavino,1.0,1,0,0,0,0,0,3.09
"Rodríguez, J",1.0,0,0,0,0,2,0,5.14
,9.0,11,10,10,6,10,0,
