BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichDH,4,1,1,0,1,1,1,.242,.704
AdamesSS,5,2,3,2,0,0,1,.208,.757
McCutchenLF,3,1,1,1,1,0,1,.231,.616
RenfroeRF,1,1,1,0,3,0,0,.246,.756
"Urías, L3B-2B",5,0,1,2,0,2,8,.212,.665
Hiura1B,4,1,0,0,0,3,3,.200,.708
CaratiniC,4,2,1,1,1,2,2,.244,.772
CainCF,5,1,2,1,0,1,0,.176,.461
Mathias2B,2,0,0,1,0,1,1,.154,.539
a-PetersonPH-3B,2,1,1,2,0,0,0,.232,.745
,35,10,11,10,6,10,17,,
