BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Frazier2B,5,0,0,0,0,1,2,.243,.616
France1B,4,0,0,0,0,0,0,.302,.843
HanigerRF,4,2,3,1,0,0,0,.267,.891
WinkerLF,2,0,0,0,0,2,1,.229,.711
LambLF,1,0,0,0,0,0,0,.236,.754
a-LewisPH,1,0,0,0,0,1,1,.143,.530
KelenicCF,0,0,0,0,0,0,0,.131,.477
"Suárez, E3B",2,1,0,0,1,1,0,.230,.753
SantanaDH,3,0,0,0,1,1,1,.199,.674
"Crawford, JSS",3,0,1,1,1,0,0,.257,.692
RaleighC,4,1,1,1,0,1,5,.200,.724
HaggertyCF-LF,4,0,1,1,0,1,0,.311,.858
,33,4,6,4,3,8,10,,
