PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Taillon(W, 11-2)",7.0,3,3,3,3,6,2,3.95
Chapman,1.0,1,0,0,0,1,0,4.44
Holmes,1.0,2,1,1,0,1,0,2.27
,9.0,6,4,4,3,8,2,
