BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WardRF,4,0,0,0,0,0,0,.333,1.096
OhtaniDH,3,0,0,0,1,1,0,.244,.777
TroutCF,3,0,0,0,0,0,0,.292,1.009
Walsh1B,3,1,1,0,0,1,0,.251,.775
Rengifo2B,4,0,0,0,0,1,4,.271,.729
MarshLF,3,0,0,0,0,1,1,.270,.708
SuzukiC,3,0,1,1,0,0,0,.196,.562
Wade3B,3,0,0,0,0,0,1,.222,.573
"Velazquez, ASS",3,0,0,0,0,2,0,.193,.514
,29,1,2,1,1,6,6,,
