PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"García, R",4.0,3,2,2,2,5,1,3.00
"Peralta, Wi",2.0,2,0,0,0,2,0,0.93
"Jiménez, J",1.0,0,0,0,0,3,0,3.24
"Soto, G",1.1,0,0,0,0,0,0,2.63
"Lange(W, 1-1)",0.2,1,0,0,0,1,0,1.56
"Fulmer(H, 5)",0.1,1,0,0,0,1,0,3.24
"Chafin(S, 1)",0.2,0,0,0,0,1,0,2.70
,10.0,7,2,2,2,13,1,
