BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
CameronRF,4,0,0,0,1,1,3,.158,.396
"Castro, HSS",4,2,3,2,0,0,1,.301,.809
"a-Cabrera, MPH",1,0,0,0,0,1,3,.287,.728
GrossmanLF,0,0,0,0,0,0,0,.189,.533
Schoop2B,5,1,0,0,0,1,4,.172,.504
"Báez, JDH",4,0,0,0,1,2,2,.201,.562
Candelario3B,4,1,1,2,1,2,2,.192,.582
Torkelson1B,4,0,0,0,1,0,2,.183,.610
"Castro, WLF-SS",5,0,2,0,0,0,2,.269,.664
HaaseC,3,0,0,0,1,1,2,.172,.524
"Hill, DCF",3,0,2,0,1,1,1,.224,.517
,37,4,8,4,6,9,22,,
