PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Valdez, F(L, 1-2)",6.1,2,3,3,2,2,1,3.42
"Maton, P",1.0,1,0,0,0,0,0,4.35
Neris,0.2,0,0,0,0,1,0,0.82
,8.0,3,3,3,2,3,1,
