BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerRF,3,1,0,0,1,0,1,.289,.921
BichetteSS,4,1,1,2,0,1,1,.214,.565
Guerrero1B,3,0,0,0,0,0,1,.275,.866
Gurriel Jr.DH,3,0,1,0,0,0,0,.289,.764
"Chapman, M3B",2,1,0,0,1,0,1,.220,.704
KirkC,3,0,0,0,0,1,2,.232,.555
Espinal2B,3,0,1,1,0,0,1,.264,.756
CapraLF,2,0,0,0,0,1,0,.000,.000
"Tapia, RLF",1,0,0,0,0,0,2,.239,.581
ZimmerCF,2,0,0,0,0,0,0,.067,.292
,26,3,3,3,2,3,9,,
