Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,R,60,2,3.3,.371,.345
2020,R,140,14,10.0,.326,.637
2021,R,447,71,15.9,.322,.239
2022,R,610,213,34.9,.325,.344
