Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2019,24,25.7,4.67,,47,66,510,25.5
2020,25,25.6,4.7,,29,53,392,21.8
2021,26,25.8,4.69,,46,68,496,26.7
2022,27,26.1,4.62,,40,68,481,23.0
