 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,61,260,-1,-3,1,2,0
2020,,165,665,1,-11,8,2,-1
2021,,448,"1,694",-2,-15,13,10,6
2022,,610,"2,372",-8,-10,15,11,8
