Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2019,OAK,AL,60,30,29,0,0,.273,9,3,7,257,4.283,.267,.067,.375,.321,0,0
2020,OAK,AL,140,53,61,0,0,.278,12,6,20,584,4.171,.264,.050,.649,.224,1,0
2021,OAK,AL,448,159,151,0,3,.257,40,7,62,1694,3.781,.254,.038,.351,.188,3,0
2022,OAK,AL,612,229,196,0,5,.290,57,14,73,2372,3.876,.203,.029,.452,.177,2,0
4 Seasons,OAK,AL,1260,471,437,0,8,.277,118,30,162,4907,3.894,.231,.037,.433,.193,6,0
