,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,612,537,67,134,18,66,1,.250,.332,.426,.758
4 Seasons,1260,1099,149,259,46,147,1,.236,.326,.429,.755
