,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2019,OAK,AL,20,60,53,14,13,5,0,4,8,6,16,0,0,1,.245,.333,.566,.899
,2020,OAK,AL,43,140,116,21,27,5,0,7,14,24,37,0,0,0,.233,.364,.457,.821
,2021,OAK,AL,119,448,393,47,85,23,0,17,59,40,114,0,0,12,.216,.306,.405,.711
,2022,OAK,AL,148,612,537,67,134,37,2,18,66,56,124,1,0,13,.250,.332,.426,.758
,4 Seasons,OAK,AL,330,1260,1099,149,259,70,2,46,147,126,291,1,0,26,.236,.326,.429,.755
