 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,74,17.4,14.9%,1.4%,42,23.4,0.0%,9.5%
2020,,168,18.6,9.5%,4.2%,116,24.7,0.0%,19.0%
2021,,422,20.2,5.5%,3.8%,333,25.9,0.0%,26.1%
2022,,658,20.1,5.8%,4.1%,383,25.3,0.3%,17.2%
