PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Detmers(L, 2-3)",3.2,4,4,4,3,6,2,4.25
Herget,2.1,1,0,0,0,2,0,3.69
Warren,1.0,1,0,0,0,0,0,3.86
Barria,1.0,0,0,0,0,0,0,2.73
,8.0,6,4,4,3,8,2,
