BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WardRF,4,0,0,0,0,2,1,.314,1.029
TroutCF,3,0,0,0,1,1,0,.289,1.010
OhtaniDH,4,1,1,0,0,2,1,.259,.820
Duffy3B,4,0,1,1,0,1,1,.300,.682
Walsh1B,3,0,1,0,0,1,1,.257,.766
LagaresLF,3,0,0,0,0,0,2,.208,.490
b-MarshPH,1,0,0,0,0,1,1,.253,.689
SuzukiC,2,0,0,0,1,1,1,.197,.589
Rengifo2B,3,0,0,0,0,1,2,.219,.605
"Velazquez, ASS",2,0,0,0,0,0,0,.170,.486
a-StassiPH,1,0,0,0,0,0,1,.237,.719
1-WadePR-SS,0,0,0,0,0,0,0,.211,.536
,30,1,3,1,2,10,11,,
