PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Anderson(W, 8-0)",8.1,2,1,1,2,8,0,2.82
Kimbrel,0.2,1,0,0,0,2,0,4.05
,9.0,3,1,1,2,10,0,
