PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Montas,3.1,4,4,4,4,2,1,4.05
Luetge,0.1,2,1,1,0,0,0,2.75
Weissert,0.1,0,0,0,0,1,0,7.56
Germán,1.2,1,0,0,1,2,0,3.12
"Peralta, Wa",0.1,0,0,0,0,1,0,2.40
Trivino,1.0,0,0,0,0,3,0,4.69
Loáisiga,1.0,1,1,0,1,0,0,4.43
"Holmes(L, 6-4)",0.2,2,1,1,2,1,0,2.59
,8.2,10,7,6,8,10,1,
