 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2015,,367,15.9,41.1%,3.3%,107,21.9,12.1%,12.1%
2016,,561,16.6,35.1%,5.0%,246,23.2,10.2%,16.3%
2017,,297,16.4,35.7%,3.0%,141,23.0,0.7%,20.6%
2018,,678,17.0,30.8%,2.8%,339,23.6,0.9%,15.9%
2019,,757,17.3,26.2%,1.8%,340,22.9,0.6%,11.2%
2020,,247,17.4,21.5%,4.5%,104,23.3,0.0%,16.3%
2021,,450,17.5,26.0%,4.0%,220,23.8,0.5%,17.7%
2022,,677,17.8,24.8%,4.6%,325,23.6,0.3%,15.4%
