 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,257,86.8,81.4,--,--,239,81.6,--,--,13,--,--,--,5,--,--,--
2021,307,89.9,85.8,--,--,82,80.3,--,--,--,--,--,--,225,85.8,--,--
2022,425,89.3,83.8,--,--,425,83.8,--,--,--,--,--,--,--,--,--,--
