Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,21,28.1,4.3,3,19,6,137,79.9
2016,22,28.4,4.22,7,13,7,98,85.8
2017,23,29.2,4.13,13,6,5,36,94.8
2018,24,28.7,4.22,10,12,14,84,87.6
2019,25,27.9,4.27,6,59,30,188,72.6
2020,26,27.7,4.31,2,19,25,148,70.6
2021,27,26.7,4.52,,90,44,381,43.7
2022,28,27.0,4.46,1,53,32,369,40.9
