PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Lynn,6.0,3,0,0,1,6,0,6.43
"Ruiz, J(H, 10)",0.2,3,3,3,0,1,0,4.15
"López, R(BS, 3)",0.1,2,1,1,0,0,0,2.98
"Kelly, J(W, 1-2)",1.0,0,0,0,0,2,0,6.75
"Foster(S, 1)",1.0,0,0,0,1,0,0,4.97
,9.0,8,4,4,2,9,0,
