PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Pilkington,5.0,4,2,2,3,3,0,4.17
"Castro, A",1.0,2,1,1,0,0,1,8.03
"Shaw(L, 4-2)(H, 4)",1.2,1,2,2,2,1,0,5.29
"Sandlin(BS, 1)",0.1,1,0,0,0,0,0,2.88
,8.0,8,5,5,5,4,1,
