PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Gray, Jn",4.1,2,0,0,3,4,0,5.51
Burke,2.2,1,0,0,1,5,0,1.62
"Martin, B(L, 0-3)",1.0,2,1,1,0,0,0,4.35
,8.0,5,1,1,4,9,0,
