BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Cruz, OSS",4,0,1,0,0,2,1,.199,.647
Newman2B,4,1,1,1,0,0,2,.267,.683
"Reynolds, BCF",3,0,0,0,0,1,0,.254,.792
MadrisCF,1,0,0,0,0,0,0,.170,.480
GamelRF,4,1,1,0,0,1,0,.249,.709
HayesDH,4,0,2,0,0,1,0,.251,.679
"Castro, R3B",3,0,0,0,1,2,1,.238,.699
MarcanoLF,3,0,0,1,0,1,0,.212,.584
VanMeter1B,4,0,0,0,0,1,2,.183,.552
HeinemanC,2,0,1,0,1,0,0,.208,.512
,32,2,6,2,2,9,6,,
