BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,3,2,1,1,2,1,1,.273,.776
a-HerediaPH-RF,1,0,0,0,0,0,2,.134,.533
SwansonSS,4,2,2,3,1,0,1,.291,.796
AdrianzaSS,1,0,0,0,0,0,0,.178,.468
Riley3B,5,1,1,2,0,1,2,.284,.904
Olson1B,5,2,3,4,1,0,2,.250,.830
"Contreras, WmC",5,2,2,2,1,2,3,.264,.862
"Rosario, EDH",4,1,1,0,1,3,1,.185,.549
Grissom2B,5,0,0,0,0,2,4,.382,1.024
"Harris II, MCF",3,2,1,0,2,2,0,.286,.835
GrossmanLF,5,2,3,1,0,0,1,.214,.619
,41,14,14,13,8,11,17,,
