PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Keller, M(L, 4-10)",3.2,7,7,2,2,5,1,4.50
Banuelos,1.1,0,0,0,1,3,0,4.38
Underwood Jr.,1.0,0,0,0,1,0,0,3.98
Stout,1.0,0,0,0,2,0,0,5.52
Holderman,0.0,3,5,5,1,0,0,3.81
Vieaux,1.0,3,2,2,1,2,1,11.74
Crowe,1.0,1,0,0,0,1,0,3.17
,9.0,14,14,9,8,11,2,
