PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Henry(L, 3-4)",4.1,7,5,5,1,2,3,5.50
Middleton,1.2,1,0,0,1,1,0,1.98
Melancon,1.0,0,0,0,1,1,0,5.09
Mantiply,1.0,2,1,1,0,1,0,2.96
,8.0,10,6,6,3,5,3,
