BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KimSS,4,0,1,1,1,0,2,.256,.713
"Soto, JRF",1,0,0,0,0,1,0,.243,.866
GrishamCF,3,1,1,0,0,1,3,.190,.651
"Machado, M3B",4,0,0,0,0,1,2,.297,.894
BellDH,3,1,1,1,1,1,1,.276,.820
ProfarLF,3,1,1,2,1,0,1,.244,.745
Myers1B,4,1,1,1,0,0,2,.248,.654
Cronenworth2B,4,1,3,1,0,0,0,.244,.739
"Nola, AuC",4,1,2,0,0,0,1,.245,.633
AzocarCF-RF,4,0,0,0,0,1,4,.257,.645
,34,6,10,6,3,5,16,,
