PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Castillo, L(W, 5-4)",6.2,5,3,3,3,8,1,2.95
Borucki,0.1,0,0,0,0,0,0,4.56
Festa,1.0,0,0,0,0,0,0,3.66
Sewald,1.0,0,0,0,0,0,0,2.53
,9.0,5,3,3,3,8,1,
