PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(W, 13-7)",6.0,5,3,3,3,6,3,3.31
"Suarez, R(H, 9)",1.0,0,0,0,1,0,0,2.97
"Martinez, N(H, 4)",1.0,1,0,0,0,2,0,3.27
"Hader(S, 31)",1.0,0,0,0,0,0,0,6.26
,9.0,6,3,3,4,8,3,
