PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Crawford, K",6.0,2,2,2,4,5,1,4.18
Sawamura,1.0,1,0,0,0,2,0,3.18
"Schreiber(L, 3-2)",2.0,3,1,1,1,4,0,1.91
,9.0,6,3,3,5,11,1,
