PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Wheeler(W, 7-4)",7.0,4,0,0,1,5,0,2.66
"Nelson, N",1.0,0,0,0,1,1,0,4.38
Knebel,1.0,0,0,0,0,2,0,3.27
,9.0,4,0,0,2,8,0,
