Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
ACL Angels,Rookie,No Outs,4,3,,0,0,0,0,0,1,1,,,0,.000,.250,.000,.250
Salt Lake Bees,Triple-A,No Outs,28,23,,10,4,0,2,2,5,4,,,0,.435,.536,.870,1.406
Salt Lake Bees,Triple-A,One Out,15,13,,6,3,0,1,5,1,5,,,1,.462,.533,.923,1.456
ACL Angels,Rookie,Two Outs,4,4,,1,1,0,0,0,0,1,,,0,.250,.250,.500,.750
Salt Lake Bees,Triple-A,Two Outs,16,13,,5,2,0,1,3,3,3,,,0,.385,.500,.769,1.269
