 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,183,17.7,21.3%,0.5%,123,23.6,0.0%,13.0%
2019,,72,19.0,13.9%,5.6%,31,21.6,0.0%,9.7%
2020,,134,18.3,9.0%,2.2%,54,24.2,0.0%,13.0%
2021,,262,18.0,18.3%,0.8%,150,24.9,0.0%,17.3%
2022,,719,17.2,28.7%,2.6%,468,22.8,0.6%,10.7%
