Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,1,,0,1,0,1,0,0,0,0,72,75,3
2020,-2,,0,1,-1,1,-2,-1,1,-2,91,87,-4
2021,-1,,3,-1,-1,1,-2,0,0,-2,89,89,0
2022,1,,-1,2,-1,-1,1,1,0,2,88,88,0
