Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,R,147,4,2.7,.257,.180
2019,R,47,2,4.3,.278,.345
2020,R,102,12,11.8,.328,.205
2021,R,237,9,3.8,.339,.195
2022,R,563,190,33.7,.359,.370
