Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,24,28.1,4.44,,6,24,158,76.5
2019,25,28.4,,,19,15,123,82.1
2020,26,28.4,4.36,1,7,12,56,89.0
2021,27,28.3,4.38,1,15,19,142,79.1
2022,28,28.4,4.4,6,16,10,131,79.1
