 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2013,,130,494,1,-5,3,2,1
2014,,124,491,-3,-6,1,1,-7
2015,,451,"1,624",-2,-4,5,4,4
2016,,618,"2,414",-9,-13,15,8,1
2017,,575,"2,315",-2,-20,27,11,15
2018,,700,"2,987",-9,-24,30,11,8
2019,,663,"2,600",-13,-26,20,10,-9
2020,,270,"1,110",-1,-9,11,7,7
2021,,642,"2,491",-8,-24,16,11,-5
2022,,617,"2,367",-22,-13,13,10,-13
