Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,457,0,0.0,.334,
2016,R,148,0,0.0,.345,
2017,L,398,0,0.0,.346,
2017,R,177,0,0.0,.340,
2018,L,526,15,2.9,.320,.372
2018,R,173,0,0.0,.320,
2019,L,479,91,19.0,.341,.282
2019,R,184,1,0.5,.272,1.217
2020,L,194,18,9.3,.355,.285
2020,R,66,3,4.5,.317,.000
2021,L,433,70,16.2,.291,.285
2021,R,198,0,0.0,.334,
2022,L,421,92,21.9,.273,.259
2022,R,194,5,2.6,.300,.668
