,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2013,PHI,NL,34,131,121,17,35,5,0,0,10,9,26,0,3,1,.289,.344,.331,.675
,2014,PHI,NL,66,125,114,13,27,2,0,1,4,9,33,1,1,0,.237,.290,.281,.571
,2015,PHI,NL,127,452,405,57,110,20,4,1,35,40,86,19,5,2,.272,.339,.348,.687
,2016,PHI,NL,155,622,547,67,161,14,11,6,39,66,116,17,13,2,.294,.371,.393,.764
,2017,PHI,NL,128,577,511,85,150,26,6,9,34,61,104,15,5,4,.294,.373,.421,.794
,2018,PHI,NL,161,708,605,91,153,15,3,15,60,95,155,19,6,4,.253,.356,.362,.718
,2019,PHI,NL,161,667,612,77,171,31,3,14,71,45,100,9,2,6,.279,.333,.408,.741
,2020,CLE,AL,58,261,233,35,66,20,0,3,20,24,57,0,0,2,.283,.355,.408,.763
,2021,CLE,AL,96,420,376,60,87,17,2,18,47,38,90,0,0,4,.231,.307,.431,.738
,2021,CWS,AL,53,217,194,24,45,4,0,3,15,21,45,1,1,1,.232,.309,.299,.608
,2021,2 Teams,,149,637,570,84,132,21,2,21,62,59,135,1,1,5,.232,.308,.386,.694
,2022,WSH,NL,147,617,560,64,139,28,4,1,34,45,114,10,4,7,.248,.311,.318,.629
,10 Seasons,4 Teams,,1186,4797,4278,590,1144,182,33,71,369,453,926,91,40,33,.267,.341,.375,.716
