Season,Team,Pos,PA,Depth (ft.),Angle
2016,PHI,4,5190,148,15
2016,PHI,6,87,145,-14
2017,PHI,4,4731,149,16
2017,PHI,6,18,145,-14
2018,PHI,4,5658,151,14
2019,PHI,4,5897,149,13
2020,CLE,4,2023,151,13
2021,CWS,6,13,149,-15
2021,CWS,4,1875,151,14
2021,CLE,4,3258,152,14
2022,WSH,4,4780,152,12
2022,WSH,5,312,117,-27
2022,WSH,7,339,293,-27
