Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2013,PHI,NL,2B,10,7,67.0,33,12,19,2,4,,.939
2013,PHI,NL,CF,22,22,190.1,49,45,0,4,0,,.918
2014,PHI,NL,2B,11,8,75.1,36,22,14,0,3,,1.000
2014,PHI,NL,3B,14,12,107.1,27,5,19,3,1,,.889
2014,PHI,NL,SS,4,2,21.0,10,6,4,0,1,,1.000
2015,PHI,NL,2B,88,75,678.1,372,132,234,6,47,,.984
2015,PHI,NL,3B,10,9,77.0,30,8,20,2,1,,.933
2015,PHI,NL,SS,12,9,86.1,39,12,26,1,4,,.974
2016,PHI,NL,2B,149,143,1247.1,643,241,390,12,102,,.981
2016,PHI,NL,SS,4,2,19.2,12,6,6,0,3,,1.000
2017,PHI,NL,2B,127,124,1096.1,572,224,337,11,79,,.981
2017,PHI,NL,SS,1,0,4.0,2,0,2,0,0,,1.000
2018,PHI,NL,2B,154,153,1349.2,633,243,378,12,92,,.981
2018,PHI,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2019,PHI,NL,2B,157,155,1376.2,637,271,354,12,96,,.981
2020,CLE,AL,2B,58,57,503.2,210,67,139,4,33,,.981
2021,CLE,AL,2B,89,89,766.0,293,110,176,7,43,,.976
2021,CLE,AL,DH,7,7,0.0,0,0,0,0,0,,.000
2021,CWS,AL,2B,53,53,461.0,197,65,127,5,30,,.975
2021,CWS,AL,SS,1,0,2.0,0,0,0,0,0,,.000
2021,2 Teams,,2B,142,142,1227.0,490,175,303,12,73,,.976
2022,WSH,NL,2B,126,124,1080.0,479,191,284,4,70,,.992
2022,WSH,NL,3B,9,8,68.2,23,8,14,1,2,,.957
2022,WSH,NL,LF,10,10,80.0,25,23,1,1,1,,.960
10 Seasons,4 Teams,,2B,1022,988,8701.1,4105,1578,2452,75,599,,.982
,2 Teams,,DH,8,8,0.0,0,0,0,0,0,,.000
,2 Teams,,3B,33,29,253.0,80,21,53,6,4,,.925
,WSH,NL,LF,10,10,80.0,25,23,1,1,1,,.960
,2 Teams,,SS,22,13,133.0,63,24,38,1,8,,.984
,PHI,NL,CF,22,22,190.1,49,45,0,4,0,,.918
