Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,25,29.9,4.18,82,2,1,6,99.3
2016,26,29.6,4.08,105,4,2,18,97.5
2017,27,29.4,4.14,80,1,3,18,97.5
2018,28,29.2,4.13,69,2,6,41,94.0
2019,29,28.8,4.15,54,7,5,77,88.9
2020,30,28.5,4.24,5,6,3,51,90.0
2021,31,28.7,4.24,34,8,3,75,89.0
2022,32,28.3,4.26,19,19,5,147,76.6
