PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Rasmussen,4.0,3,2,2,1,3,1,4.50
"Fleming(W, 1-0)",3.1,3,0,0,0,5,0,0.00
"Feyereisen(H, 2)",0.2,0,0,0,0,0,0,0.00
"Kittredge(S, 1)",1.0,2,1,1,0,2,0,4.50
,9.0,8,3,3,1,10,1,
