PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Lyles(L, 0-1)",5.0,7,5,5,3,2,1,9.00
Akin,3.0,1,0,0,0,3,0,0.00
,8.0,8,5,5,3,5,1,
