BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,4,0,0,0,0,2,1,.125,.347
Mountcastle1B,4,1,2,2,0,0,0,.375,1.125
SantanderLF,3,0,2,0,0,0,1,.500,1.625
ManciniDH,4,0,1,0,0,1,3,.250,.625
"Urías, R3B",4,1,2,0,0,1,2,.375,1.000
HaysRF,4,0,0,0,0,0,3,.000,.125
Odor2B,4,0,0,0,0,2,1,.200,.400
MateoSS,3,1,1,1,1,1,0,.333,1.000
ChirinosC,3,0,0,0,0,2,1,.000,.000
"a-Stewart, DPH",1,0,0,0,0,1,1,.000,.000
,34,3,8,3,1,10,13,,
