PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Odorizzi,4.2,3,1,1,1,5,0,4.04
"Lee, D(W, 4-1)",0.1,1,0,0,1,0,0,2.51
"McHugh(H, 13)",1.1,2,1,1,0,2,0,2.84
"Minter(H, 29)",0.2,1,1,1,0,0,0,2.23
"Iglesias, R(H, 10)",1.0,2,0,0,0,1,0,2.82
"Jansen(S, 34)",1.0,0,0,0,0,1,0,3.76
,9.0,9,3,3,2,9,0,
