Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2019,AZ,NL,157,43,67,0,0,.295,9,3,18,640,4.076,.261,.013,.439,.094,1,0
2020,AZ,NL,70,11,25,0,2,.234,0,1,11,304,4.343,.229,.000,.438,.000,1,0
2021,AZ,NL,550,199,194,1,3,.345,46,7,54,2316,4.211,.249,.020,.423,.147,8,0
2022,AZ,NL,510,173,156,5,5,.323,35,7,71,2033,3.986,.192,.018,.561,.122,1,0
4 Seasons,AZ,NL,1287,426,442,6,10,.324,90,18,154,5293,4.113,.227,.017,.473,.123,11,0
