Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,21.7,2,3.1,-1,3,4,1,50.0
2020,,--,0,0.2,0,3,0,0,--
2021,,24.0,11,10.7,0,10,13,0,0.0
2022,,24.3,9,8.3,1,5,9,1,11.1
Player,,24.0,22,22.3,0,21,26,2,9.1
