 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,68,83.5,--,--,--,55,--,--,--,12,--,1,--,--,--,--,--
2021,665,92.3,87.4,--,--,281,81.2,33,--,241,84.7,41,--,--,--,69,86.4
2022,455,91.4,86.5,--,--,118,81.9,337,87.0,--,--,--,--,--,--,--,--
