Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2019,25,28.1,4.27,,24,26,167,75.7
2020,26,27.3,,,28,31,186,63.0
2021,27,27.6,4.33,,36,33,249,63.3
2022,28,27.3,4.37,,29,25,314,49.8
